ticker,dy_17,dy_18,dy_19,roe_17,roe_18,roe_19
VALE3,3.30,3.86,2.65,12,15,-6
PETR3,0.00,3.97,2.12,0,9,14
ITUB3,3.66,6.42,7.57,19,19,20
ABEV3,2.87,3.12,2.62,16,20,19
BBDC3,3.72,2.85,5.58,13,16,17
MGLU3,1.77,0.47,1.01,19,26,12
WEGE3,1.49,1.94,0.98,17,17,18
SANB3,4.61,2.55,4.22,13,19,20
SANB11,4.61,2.55,4.22,13,19,20
B3SA3,2.95,3.27,3.69,12,14,18
BBAS3,2.95,3.27,3.69,12,14,18
ITSA3,4.62,2.15,8.45,15,17,18
VIVT4,5.45,8.89,3.78,7,12,7
BPAC11,3.63,5.77,1.85,11,7,18
SUZB3,0.96,0.50,1.11,16,3,-16
JBSS3,0.31,0.43,0.00,4,1,20
HAPV3,,0.58,0.44,,22,12
ELET3,0.00,0.00,2.14,-4,24,15
BBSE3,5.69,11.20,4.16,46,52,127
RENT3,2.81,0.87,0.86,20,21,15
GNDI3,,0.00,0.22,,14,7
NTCO3,0.94,0.00,1.34,41,21,12
BTOW3,0.00,0.00,0.00,-11,-11,-6
RADL3,0.66,1.10,0.57,16,14,19
LAME3,0.12,0.41,0.31,1,4,8
CRFB3,0.00,1.93,0.21,13,13,9
GGBR3,0.40,1.69,1.40,-1,9,4
CPFE3,1.14,0.97,0.00,11,17,21
EGIE3,7.66,7.84,3.17,29,37,33
LREN3,1.10,1.06,0.89,23,26,23
SBSP3,3.50,3.27,1.92,14,15,16
RAIL3,0.00,0.00,0.00,-3,3,9
TIMS3,1.07,2.03,3.64,7,13,16
CSNA3,0.00,0.00,6.73,1,52,20
CSAN3,2.24,3.32,1.44,15,17,22
DASA3,0.00,0.00,0.00,4,6,4
KLBN3,2.23,6.71,3.94,7,3,11
VVAR3,0.38,0.23,0.00,7,-11,-248
CCRO3,3.96,5.36,4.06,21,8,17
BRDT3,0.00,5.53,7.28,13,33,25
ALPA3,2.01,2.82,0.00,16,13,10
CGAS3,17.63,8.15,11.47,32,49,264
NEOE3,,,1.13,,,12
EQTL3,0.88,1.62,0.00,21,18,28
REDE3,0.69,0.14,0.00,3,13,21
UGPA3,2.29,2.74,3.53,16,12,4
HYPE3,4.36,3.21,3.03,12,14,13
BRKM3,2.94,3.99,2.81,73,49,-73
CPLE3,11.86,3.80,2.33,7,9,12
ENEV3,0.00,0.00,0.00,2,14,9
TOTS3,1.20,1.14,0.65,8,5,9
GMAT3,,,,,,
PCAR3,,,0.91,,,6
BRAP3,4.98,6.09,1.57,26,12,-4
ENGI3,7.66,7.84,3.17,29,37,33
ENGI11,7.66,7.84,3.17,29,37,33
TRPL4,4.54,18.16,6.69,12,17,13
SULA11,3.22,1.99,1.05,14,14,17
PSSA3,4.13,7.77,3.38,14,17,17
CMIG3,3.49,4.62,5.22,7,11,20
LCAM3,1.20,1.94,4.54,13,7,9
BRFS3,0.00,0.00,0.00,-9,-59,4
USIM3,0.00,0.54,1.58,2,5,2
DTEX3,1.09,6.76,0.00,4,9,8
BIDI4,,1.01,1.08,,7,4
MULT3,1.71,4.85,1.39,7,9,8
MDIA3,1.07,0.96,0.66,17,13,9
ENBR3,0.86,8.20,2.04,8,15,14
WHRL3,10.97,3.26,5.22,18,8,59
GOAU3,0.35,1.59,1.62,-2,9,4
CYRE3,0.68,7.24,6.13,0,0,10
TAEE11,8.62,11.82,4.33,15,23,20
MRFG3,0.00,0.00,0.00,-17,54,89
OIBR3,0.00,0.00,0.00,49,108,-51
CIEL3,3.78,16.09,6.09,35,30,17
BPAN4,0.00,3.08,0.75,6,5,10
QUAL3,4.42,5.59,3.53,16,17,28
LWSA3,,,,,,
CESP3,4.32,0.19,2.74,-2,4,16
FLRY3,2.60,4.20,3.34,19,19,18
MRVE3,4.26,8.33,1.72,12,16,15
EZTC3,17.37,2.08,0.27,14,4,8
AZUL4,0.00,0.00,0.00,19,13,68
COGN3,2.34,4.40,0.52,12,9,2
RLOG3,0.00,0.00,0.00,-3,3,9
SMTO3,1.45,2.80,2.78,15,9,19
BRML3,0.55,0.69,4.93,-8,10,12
SAPR3,0.00,5.45,4.24,13,16,18
YDUQ3,0.85,6.99,1.07,15,25,21
GUAR3,1.17,3.48,2.40,14,25,11
GRND3,4.36,16.95,2.52,21,17,13
ALUP3,2.76,3.93,1.63,13,12,22
ALUP4,2.76,3.93,1.63,13,12,22
ALUP11,2.76,3.93,1.63,13,12,22
ODPV3,3.27,2.11,1.66,54,28,26
LINX3,1.03,0.43,0.00,7,7,2
PETZ3,,,,,,
LIGT3,0.00,0.85,0.80,4,5,21
ALSO3,1.81,1.79,0.92,7,9,1
ECOR3,3.41,7.68,0.00,55,60,-41
BOAS3,,,,,,
SIMH3,0.00,2.15,0.00,2,15,13
CSMG3,4.82,6.55,1.32,9,9,11
TIET11,6.43,7.68,5.16,19,19,21
IRBR3,1.71,2.62,5.96,26,30,38
OMGE3,0.00,0.52,0.00,6,3,1
CNTO3,,,0.00,,,27
MOVI3,0.00,4.19,0.84,5,10,10
IGTA3,1.73,0.00,0.40,8,9,10
ARZZ3,3.77,2.27,2.08,23,20,22
VIVA3,,,0.58,,,24
SLCE3,8.32,5.09,3.83,14,15,11
RAPT3,0.56,1.19,2.01,6,11,14
BEEF3,2.44,0.00,0.00,-393,420,-6
HBSA3,,,,,,
BRSR3,5.30,5.28,3.88,15,14,17
BRSR5,5.30,5.28,3.88,15,14,17
BRSR6,5.30,5.28,3.88,15,14,17
PRIO3,0.00,0.00,0.00,6,20,34
EMBR3,1.55,0.60,0.00,6,-4,-9
JHSF3,0.00,0.00,2.81,-1,9,11
GOLL4,0.00,0.00,0.00,-12,17,-3
COCE3,3.63,2.27,0.00,17,13,13
BRPR3,0.19,1.95,0.00,5,0,4
BSEV3,0.00,0.00,0.00,-79,-225,154
CAML3,2.04,2.27,1.55,14,17,11
CEAB3,,0,,,,35
LOGG3,,0.00,0.43,,2,3
PGMN3,,,,,,
ANIM3,0.21,1.47,0.03,12,1,-1
SOMA3,,,,,,
LAVV3,,,,,,
CURY3,,,,,,
TEND3,0.00,1.59,1.99,9,17,20
UNIP6,31.80,7.35,0.84,29,38,12
WSON33,4.13,4.68,0.00,13,8,6
TUPY3,6.36,5.06,4.43,8,12,12
PARD3,2.93,1.71,1.65,25,21,23
STBP3,0.00,0.00,0.00,0,0,1
HGTX3,6.32,2.36,2.38,21,18,15
PNVL4,0.70,2.20,0.69,15,17,15
LJQQ3,,,,,,
ABCB4,0.00,3.20,2.43,13,11,13
BMGB4,,,2.55,,,9
POMO4,0.50,2.70,1.33,4,9,9
EVEN3,0.00,0.00,0.00,-17,-8,8
BKBR3,0.00,0.24,0.51,0,7,3
LEVE3,2.39,7.17,7.50,17,22,20
ENAT3,1.40,16.47,11.94,11,13,7
CCPR3,32.47,11.49,0.00,12,3,3
SCAR3,2.65,0.00,0.79,9,1,6
TRIS3,3.42,3.90,0.46,7,13,14
MYPK3,0.35,3.23,0.81,3,10,12
JPSA3,,1.76,1.06,,8,9
CVCB3,0.95,0.82,1.03,30,24,0
CLSC3,0.00,1.00,1.36,4,9,20
SMLS3,5.84,8.89,9.42,52,64,52
DIRR3,0.00,8.13,5.87,-9,-5,9
SEQL3,,,,,,
AMBP3,,,,,,
AMAR3,0.00,0.00,0.00,-6,3,-8
VULC3,0.00,0.00,0.00,24,16,13
SEER3,0.86,2.70,8.90,13,14,10
FESA3,6.16,5.67,6.40,18,18,12
WIZS3,4.18,7.42,7.86,98,106,115
BEES3,6.93,5.33,4.76,13,12,13
ALPK3,,,,,,
SQIA3,0.34,0.75,0.24,11,5,-1
OFSA3,0.46,0.71,0.56,10,15,10
TGMA3,1.11,4.18,4.17,23,23,34
FRAS3,5.41,5.00,1.93,8,11,4
LOGN3,0.00,0.00,0.00,154,-2,4
MILS3,0.00,0.00,0.00,-16,-13,-4
MELK3,,,,,,
MTRE3,,,,,,
HBOR3,0.00,0.00,0.00,-17,-30,-6
AGRO3,1.92,4.87,4.89,17,20,11
AALR3,0.00,0.00,0.44,1,4,4
PTBL3,1.28,3.85,2.79,23,37,4
SHUL4,2.32,4.43,0.00,9,13,16
CASH3,,,,,,
GBIO33,0.00,0.00,0.00,3,9,1
BAZA3,2.44,2.64,3.53,3,6,13
KEPL3,0.00,0.00,0.85,-8,2,9
MEAL3,0.00,0.14,0.12,0,1,-1
MDNE3,,,,,,
ROMI3,1.04,8.78,6.38,6,12,17
LPSB3,0.00,0.00,0.00,-81,-224,-2
TASA3,0.00,0.00,0.00,64,15,-15
RANI4,1.01,0.00,0.50,-31,1,-24
CRPG6,2.68,13.58,3.04,18,31,19
EUCA3,1.27,1.62,0.60,3,2,5
TCSA3,0.00,0.00,0.00,-50,-36,-28
PFRM3,0.00,0.00,0.00,-15,-1,1
VLID3,2.00,5.44,4.12,3,9,5
POSI3,1.93,0.00,0.00,-9,0,4
CARD3,3.65,5.08,2.04,21,14,11
CGRA3,4.75,4.87,4.35,13,11,22
DMVF3,,,,,,
BOBR3,0.00,0.00,0.00,-87,-29,14
GFSA3,0.00,0.00,0.00,-112,-86,-1
PMAM3,0.00,0.00,0.00,-15,-54,-4
RDNI3,0.00,0.00,0.00,-14,-4,0
ETER3,0.00,0.00,0.00,-162,-1.24,650
APER3,0.00,0.00,0.00,-32,-178,1
TESA3,0.00,0.00,0.00,1,5,-14
PRNR3,,,,,,
DMMO3,0.00,0.00,0.00,-498,178,26
PINE4,0.00,0.00,0.00,-29,-7,-14
SGPS3,0.00,0.00,0.00,2,8,3
LLIS3,0.00,3.51,0.00,20,5,-8
UCAS3,0.00,0.00,2.97,-4,2,12
TPIS3,0.00,12.18,0.00,-1,-39,-29
MTSA4,3.41,0.00,0.00,6,7,8
CAMB3,0.00,0.00,0.00,767,71,29
RPMG3,0.00,0.00,0.00,10,7,8
SHOW3,1.22,4.20,0.96,14,4,-26
FHER3,0.00,0.00,0.00,-77,125,2.11
RCSL3,0.00,0.00,0.00,31,19,4
RSID3,0.00,0.00,0.00,-95,247,55
GSHP3,0.00,0.00,109.64,21,-937,-850
ATMP3,0.00,0.00,0.00,90,-266,256
TECN3,0.00,0.00,0.00,0,3,-35
ATOM3,,0.00,0.00,,200,60
PDTC3,0.00,0.00,0.00,1.10,77,22
BBRK3,0.00,0.00,0.00,-42,-30,-27
VIVR3,0.00,0.00,0.00,183,-428,164
CRDE3,0.00,0.00,0.00,-3,-13,-6
LUPA3,0.00,0.00,0.00,-4,-76,-25
PPLA11,0.00,0.00,0.00,-335,-5.40,0
PDGR3,0.00,0.00,0.00,-5,21,18
SLED4,4.25,10.09,0.00,-12,-250,184
AZEV3,0.00,0.00,0.00,109,62,14
ADHM3,0.00,0.00,0.00,44,29,26
TCNO3,0.00,0.00,0.00,-750,-100,0
