Empresa,Classe,Codigo_old,,Setor,Segmento,Codigo
Hoteis Othon,ON,HOOT3,.SA,Consumo ciclico,Hotelaria,HOOT3.SA
Hoteis Othon,PN,HOOT4,.SA,Consumo ciclico,Hotelaria,HOOT4.SA
Hypera,ON,HYPE3,.SA,Saude,Medicamentos e outros produtos,HYPE3.SA
Ideiasnet,ON,IDNT3,.SA,Tecnologia da informao,Programas e servios,IDNT3.SA
IGB S/A,ON,IGBR3,.SA,Consumo ciclico,Eletrodom‚sticos,IGBR3.SA
Igua SA,ON,IGSN3,.SA,Utilidade pblica,gua e saneamento,IGSN3.SA
Iguatemi,ON,IGTA3,.SA,Financeiro,Explorao de imveis,IGTA3.SA
Ihpardini,ON,PARD3,.SA,Saude,Servios medicohospitalares an lises e diagnsticos,PARD3.SA
Imc S/A,ON,MEAL3,.SA,Consumo ciclico,Restaurante e similares,MEAL3.SA
Ind Cataguas,ON,CATA3,.SA,Consumo ciclico,Fios e tecidos,CATA3.SA
Ind Cataguas,PN,CATA4,.SA,Consumo ciclico,Fios e tecidos,CATA4.SA
Inds Romi,ON,ROMI3,.SA,Bens industriais,M q. e equip. industriais,ROMI3.SA
Indusval,ON,IDVL3,.SA,Financeiro,Bancos,IDVL3.SA
Indusval,PN,IDVL4,.SA,Financeiro,Bancos,IDVL4.SA
Inepar,ON,INEP3,.SA,Bens industriais,M q. e equip. industriais,INEP3.SA
Inepar,PN,INEP4,.SA,Bens industriais,M q. e equip. industriais,INEP4.SA
Inter SA,ON,INNT3,.SA,Consumo ciclico,Incorporaes,INNT3.SA
Intermedica,ON,GNDI3,.SA,Saude,Servios medicohospitalares an lises e diagnsticos,GNDI3.SA
Invepar,ON,IVPR3B,.SA,Bens industriais,Explorao de rodovias,IVPR3B.SA
Invepar,PN,IVPR4B,.SA,Bens industriais,Explorao de rodovias,IVPR4B.SA
Invest Bemge,ON,FIGE3,.SA,Financeiro,Outros,FIGE3.SA
Invest Bemge,PN,FIGE4,.SA,Financeiro,Outros,FIGE4.SA
IochpMaxion,ON,MYPK3,.SA,Consumo ciclico,Automveis e motocicletas,MYPK3.SA
Irbbrasil Re,ON,IRBR3,.SA,Financeiro,Seguradoras,IRBR3.SA
Itausa,ON,ITSA3,.SA,Financeiro,Bancos,ITSA3.SA
Itausa,PN,ITSA4,.SA,Financeiro,Bancos,ITSA4.SA
ItauUnibanco,ON,ITUB3,.SA,Financeiro,Bancos,ITUB3.SA
ItauUnibanco,PN,ITUB4,.SA,Financeiro,Bancos,ITUB4.SA
J B Duarte,ON,JBDU3,.SA,Financeiro,Holdings diversificadas,JBDU3.SA
J B Duarte,PN,JBDU4,.SA,Financeiro,Holdings diversificadas,JBDU4.SA
JBS,ON,JBSS3,.SA,Consumo no ciclico,Carnes e derivados,JBSS3.SA
Jereissati,ON,JPSA3,.SA,Financeiro,Explorao de imveis,JPSA3.SA
Jereissati,PN,JPSA4,.SA,Financeiro,Explorao de imveis,JPSA4.SA
JHSF Part,ON,JHSF3,.SA,Consumo ciclico,Incorporaes,JHSF3.SA
Joao Fortes,ON,JFEN3,.SA,Consumo ciclico,Incorporaes,JFEN3.SA
Josapar,ON,JOPA3,.SA,Consumo no ciclico,Alimentos diversos,JOPA3.SA
Josapar,PN,JOPA4,.SA,Consumo no ciclico,Alimentos diversos,JOPA4.SA
JSL,ON,JSLG3,.SA,Bens industriais,Transporte rodoviario,JSLG3.SA
Karsten,ON,CTKA3,.SA,Consumo ciclico,Fios e tecidos,CTKA3.SA
Karsten,PN,CTKA4,.SA,Consumo ciclico,Fios e tecidos,CTKA4.SA
Kepler Weber,ON,KEPL3,.SA,Bens industriais,M q. e equip. industriais,KEPL3.SA
Klabin S/A,ON,KLBN3,.SA,Materiais basicos,Papel e celulose,KLBN3.SA
Klabin S/A,PN,KLBN4,.SA,Materiais basicos,Papel e celulose,KLBN4.SA
Klabin S/A,UNT N2,KLBN11,.SA,Materiais basicos,Papel e celulose,KLBN11.SA
Le Lis Blanc,ON,LLIS3,.SA,Consumo ciclico,Tecidos vestuario e calados,LLIS3.SA
Lifemed,ON,LMED3,.SA,,,
Light S/A,ON,LIGT3,.SA,Utilidade pblica,Energia eletrica,
Linx,ON,LINX3,.SA,Tecnologia da informao,Programas e servios,
Liq,ON,LIQO3,.SA,Bens industriais,Servios diversos,
Litel,ON,LTEL3B,.SA,Materiais basicos,Minerais met licos,
Litel,PRB,LTEL11B,.SA,Materiais basicos,Minerais met licos,
Litela,ON,LTLA3B,.SA,Materiais basicos,Minerais met licos,
Localiza,ON,RENT3,.SA,Consumo ciclico,Aluguel de carros,
Locamerica,ON,LCAM3,.SA,Consumo ciclico,Aluguel de carros,
Locaweb,ON,LWSA3,.SA,Tecnologia da informao,Programas e servios,
Log Com Prop,ON,LOGG3,.SA,Financeiro,Explorao de imveis,
LogIn,ON,LOGN3,.SA,Bens industriais,Transporte hidroviario,
Lojas Americ,ON,LAME3,.SA,Consumo ciclico,Produtos diversos,
Lojas Americ,PN,LAME4,.SA,Consumo ciclico,Produtos diversos,
Lojas Marisa,ON,AMAR3,.SA,Consumo ciclico,Tecidos vestuario e calados,
Lojas Renner,ON,LREN3,.SA,Consumo ciclico,Tecidos vestuario e calados,
Longdis,ON,SPRT3B,.SA,Financeiro,Outros,
Lopes Brasil,ON,LPSB3,.SA,Financeiro,Intermediao imobili ria,
Lupatech,ON,LUPA3,.SA,Petrleo g s e biocombustiveis,Equipamentos e servios,
M.Diasbranco,ON,MDIA3,.SA,Consumo no ciclico,Alimentos diversos,
Maestroloc,ON,MSRO3,.SA,Consumo ciclico,Aluguel de carros,
Magaz Luiza,ON,MGLU3,.SA,Consumo ciclico,Eletrodom‚sticos,
Mangels Indl,ON,MGEL3,.SA,Materiais basicos,Artefatos de ferro e ao,
Mangels Indl,PN,MGEL4,.SA,Materiais basicos,Artefatos de ferro e ao,
Marcopolo,ON,POMO3,.SA,Bens industriais,Material rodoviario,
Marcopolo,PN,POMO4,.SA,Bens industriais,Material rodoviario,
Marfrig,ON,MRFG3,.SA,Consumo no ciclico,Carnes e derivados,
Melhor SP,ON,MSPA3,.SA,Consumo ciclico,Jornais livros e revistas,
Melhor SP,PN,MSPA4,.SA,Consumo ciclico,Jornais livros e revistas,
Mendes Jr,ON,MEND3,.SA,Bens industriais,Construo pesada,
Mendes Jr,PNA,MEND5,.SA,Bens industriais,Construo pesada,
Mendes Jr,PNB,MEND6,.SA,Bens industriais,Construo pesada,
Menezes Cort,ON,MNZC3B,.SA,Financeiro,Explorao de imveis,
Merc Brasil,ON,BMEB3,.SA,Financeiro,Bancos,
Merc Brasil,PN,BMEB4,.SA,Financeiro,Bancos,
Merc Financ,ON,MERC3,.SA,Financeiro,Soc. cr‚dito e financiamento,
Merc Financ,PN,MERC4,.SA,Financeiro,Soc. cr‚dito e financiamento,
Merc Invest,ON,BMIN3,.SA,Financeiro,Bancos,
Merc Invest,PN,BMIN4,.SA,Financeiro,Bancos,
Metal Iguacu,ON,MTIG3,.SA,Materiais basicos,Embalagens,
Metal Iguacu,PN,MTIG4,.SA,Materiais basicos,Embalagens,
Metal Leve,ON,LEVE3,.SA,Consumo ciclico,Automveis e motocicletas,
Metalfrio,ON,FRIO3,.SA,Bens industriais,M q. e equip. industriais,
Metisa,ON,MTSA3,.SA,Bens industriais,M q. e equip. construo e agricolas,
Metisa,PN,MTSA4,.SA,Bens industriais,M q. e equip. construo e agricolas,
Mills,ON,MILS3,.SA,Bens industriais,Servios diversos,
Minasmaquinas,ON,MMAQ3,.SA,Bens industriais,Material de transporte,
Minasmaquinas,PN,MMAQ4,.SA,Bens industriais,Material de transporte,
Minerva,ON,BEEF3,.SA,Consumo no ciclico,Carnes e derivados,
Minupar,ON,MNPR3,.SA,Consumo no ciclico,Carnes e derivados,
Mitre,ON,MTRE3,.SA,Consumo no ciclico,Incorporaes,
MMX Miner,ON,MMXM3,.SA,Materiais basicos,Minerais met licos,
Mont Aranha,ON,MOAR3,.SA,Financeiro,Holdings diversificadas,
Movida,ON,MOVI3,.SA,Consumo ciclico,Aluguel de carros,
Mrs Logist,ON,MRSA3B,.SA,Bens industriais,Transporte ferroviario,
Mrs Logist,PNA,MRSA5B,.SA,Bens industriais,Transporte ferroviario,
Mrs Logist,PNB,MRSA6B,.SA,Bens industriais,Transporte ferroviario,
MRV,ON,MRVE3,.SA,Consumo ciclico,Incorporaes,
Multiplan,ON,MULT3,.SA,Financeiro,Explorao de imveis,
Mundial,ON,MNDL3,.SA,Consumo ciclico,Acessrios,
Nadir Figuei,ON,NAFG3,.SA,Consumo ciclico,Utensilios dom‚sticos,
Nadir Figuei,PN,NAFG4,.SA,Consumo ciclico,Utensilios dom‚sticos,
Neoenergia,ON,NEOE3,.SA,Utilidade pblica,Energia eletrica,
Nord Brasil,ON,BNBR3,.SA,Financeiro,Bancos,
Nordon Met,ON,NORD3,.SA,Bens industriais,M q. e equip. industriais,
Nortcquimica,ON,NRTQ3,.SA,Saude,Medicamentos e outros produtos,
Nutriplant,ON,NUTR3,.SA,Materiais basicos,Fertilizantes e defensivos,
Oderich,ON,ODER3,.SA,Consumo no ciclico,Alimentos diversos,
Oderich,PN,ODER4,.SA,Consumo no ciclico,Alimentos diversos,
Odontoprev,ON,ODPV3,.SA,Saude,Servios medicohospitalares an lises e diagnsticos,
Oi,ON,OIBR3,.SA,Comunicaes,Telecomunicaes,
Oi,PN,OIBR4,.SA,Comunicaes,Telecomunicaes,
Omega Ger,ON,OMGE3,.SA,Utilidade pblica,Energia eletrica,
Opport Energ,ON,OPHE3B,.SA,Financeiro,Outros,
OSX Brasil,ON,OSXB3,.SA,Petrleo g s e biocombustiveis,Equipamentos e servios,
Ourofino S/A,ON,OFSA3,.SA,Saude,Medicamentos e outros produtos,
P.AcucarCbd,ON,PCAR3,.SA,Consumo no ciclico,Alimentos,
P.AcucarCbd,PN,PCAR4,.SA,Consumo no ciclico,Alimentos,
Panatlantica,ON,PATI3,.SA,Materiais basicos,Artefatos de ferro e ao,
Panatlantica,PN,PATI4,.SA,Materiais basicos,Artefatos de ferro e ao,
Par Al Bahia,ON,PEAB3,.SA,Financeiro,Holdings diversificadas,
Par Al Bahia,PN,PEAB4,.SA,Financeiro,Holdings diversificadas,
Paranapanema,ON,PMAM3,.SA,Materiais basicos,Artefatos de cobre,
PDG Realt,ON,PDGR3,.SA,Consumo ciclico,Incorporaes,
Pet Manguinh,ON,RPMG3,.SA,Petrleo g s e biocombustiveis,Explorao refino e distribuio,
Petrobras,ON,PETR3,.SA,Petrleo g s e biocombustiveis,Explorao refino e distribuio,
Petrobras,PN,PETR4,.SA,Petrleo g s e biocombustiveis,Explorao refino e distribuio,
Petrobras BR,ON,BRDT3,.SA,Petrleo g s e biocombustiveis,Explorao refino e distribuio,
Petrorio,ON,PRIO3,.SA,Petrleo g s e biocombustiveis,Explorao refino e distribuio,
Pettenati,ON,PTNT3,.SA,Consumo ciclico,Fios e tecidos,
Pettenati,PN,PTNT4,.SA,Consumo ciclico,Fios e tecidos,
Pine,ON,PINE3,.SA,Financeiro,Bancos,
Pine,PN,PINE4,.SA,Financeiro,Bancos,
Plascar Part,ON,PLAS3,.SA,Consumo ciclico,Automveis e motocicletas,
Polpar,ON,PPAR3,.SA,Financeiro,Outros,
Pomifrutas,ON,FRTA3,.SA,Consumo no ciclico,Agricultura,
Porto Seguro,ON,PSSA3,.SA,Financeiro,Seguradoras,
Portobello,ON,PTBL3,.SA,Bens industriais,Produtos para construo,
Positivo Tec,ON,POSI3,.SA,Tecnologia da informao,Computadores e equipamentos,
Ppla,UNT,PPLA11,.SA,Financeiro,Gesto de recursos e investimentos,
Pratica,ON,PTCA3,.SA,Bens industriais,M q. e equip. industriais,
Pratica,PN Resg,PTCA11,.SA,Bens industriais,M q. e equip. industriais,
Priner,ON,PRNR3,.SA,Bens industriais,Servios diversos,
Profarma,ON,PFRM3,.SA,Saude,Medicamentos e outros produtos,
Prompt,ON,PRPT3B,.SA,Financeiro,Outros,
Qualicorp,ON,QUAL3,.SA,Saude,Servios medicohospitalares an lises e diagnsticos,
Quality Soft,ON,QUSW3,.SA,Tecnologia da informao,Programas e servios,
RaiaDrogasil,ON,RADL3,.SA,Saude,Medicamentos e outros produtos,
Randon Part,ON,RAPT3,.SA,Bens industriais,Material rodoviario,
Randon Part,PN,RAPT4,.SA,Bens industriais,Material rodoviario,
Recrusul,ON,RCSL3,.SA,Bens industriais,Material rodoviario,
Recrusul,PN,RCSL4,.SA,Bens industriais,Material rodoviario,
Rede Energia,ON,REDE3,.SA,Utilidade pblica,Energia eletrica,
Rede Energia,PN,REDE4,.SA,Utilidade pblica,Energia eletrica,
Renova,ON,RNEW3,.SA,Utilidade pblica,Energia eletrica,
Renova,PN,RNEW4,.SA,Utilidade pblica,Energia eletrica,
Renova,UNT N2,RNEW11,.SA,Utilidade pblica,Energia eletrica,
Riosulense,ON,RSUL3,.SA,Bens industriais,Material rodoviario,
Riosulense,PN,RSUL4,.SA,Bens industriais,Material rodoviario,
Rni,ON,RDNI3,.SA,Consumo ciclico,Incorporaes,
Rossi Resid,ON,RSID3,.SA,Consumo ciclico,Incorporaes,
Rumo S.A.,ON,RAIL3,.SA,Bens industriais,Transporte ferroviario,
Sabesp,ON,SBSP3,.SA,Utilidade pblica,gua e saneamento,
Sanepar,ON,SAPR3,.SA,Utilidade pblica,gua e saneamento,
Sanepar,PN,SAPR4,.SA,Utilidade pblica,gua e saneamento,
Sanepar,UNT N2,SAPR11,.SA,Utilidade pblica,gua e saneamento,
Sansuy,ON,SNSY3,.SA,Materiais basicos,Materiais diversos,
Sansuy,PNA,SNSY5,.SA,Materiais basicos,Materiais diversos,
Sansuy,PNB,SNSY6,.SA,Materiais basicos,Materiais diversos,
Santander BR,ON,SANB3,.SA,Financeiro,Bancos,
Santander BR,PN,SANB4,.SA,Financeiro,Bancos,
Santander BR,UNT,SANB11,.SA,Financeiro,Bancos,
Santanense,ON,CTSA3,.SA,Consumo ciclico,Fios e tecidos,
Santanense,PN,CTSA4,.SA,Consumo ciclico,Fios e tecidos,
Santanense,PND,CTSA8,.SA,Consumo ciclico,Fios e tecidos,
Santos Brp,ON,STBP3,.SA,Bens industriais,Servios de apoio e armazenagem,
Sao Carlos,ON,SCAR3,.SA,Financeiro,Explorao de imveis,
Sao Martinho,ON,SMTO3,.SA,Consumo no ciclico,Acar e  lcool,
Saraiva Livr,ON,SLED3,.SA,Consumo ciclico,Produtos diversos,
Saraiva Livr,PN,SLED4,.SA,Consumo ciclico,Produtos diversos,
Schulz,ON,SHUL3,.SA,Bens industriais,Motores compressores e outros,
Schulz,PN,SHUL4,.SA,Bens industriais,Motores compressores e outros,
Seg Al Bahia,ON,CSAB3,.SA,Financeiro,Seguradoras,
Seg Al Bahia,PN,CSAB4,.SA,Financeiro,Seguradoras,
Selectpart,ON,SLCT3B,.SA,Financeiro,Outros,
Ser Educa,ON,SEER3,.SA,Consumo ciclico,Servios educacionais,
Sid Nacional,ON,CSNA3,.SA,Materiais basicos,Siderurgia,
Sinqia,ON,SQIA3,.SA,Tecnologia da informao,Programas e servios,
SLC Agricola,ON,SLCE3,.SA,Consumo no ciclico,Agricultura,
Smart Fit,ON,SMFT3,.SA,Consumo ciclico,Atividades esportivas,
Smart Fit,PNAB,SMFT13,.SA,Consumo ciclico,Atividades esportivas,
Smart Fit,PNAE,SMFT14,.SA,Consumo ciclico,Atividades esportivas,
Smart Fit,PNAG,SMFT15,.SA,Consumo ciclico,Atividades esportivas,
Smart Fit,PNB,SMFT6,.SA,Consumo ciclico,Atividades esportivas,
Smart Fit,PNE,SMFT11,.SA,Consumo ciclico,Atividades esportivas,
Smart Fit,PNG,SMFT12,.SA,Consumo ciclico,Atividades esportivas,
Smiles,ON,SMLS3,.SA,Consumo ciclico,Programas de fidelizao,
Sondotecnica,ON,SOND3,.SA,Bens industriais,Engenharia consultiva,
Sondotecnica,PNA,SOND5,.SA,Bens industriais,Engenharia consultiva,
Sondotecnica,PNB,SOND6,.SA,Bens industriais,Engenharia consultiva,
Springer,ON,SPRI3,.SA,Financeiro,Holdings diversificadas,
Springer,PNA,SPRI5,.SA,Financeiro,Holdings diversificadas,
Springer,PNB,SPRI6,.SA,Financeiro,Holdings diversificadas,
Springs,ON,SGPS3,.SA,Consumo ciclico,Fios e tecidos,
SPturis,ON,AHEB3,.SA,Consumo ciclico,Produo de eventos e shows,
SPturis,PNA,AHEB5,.SA,Consumo ciclico,Produo de eventos e shows,
SPturis,PNB,AHEB6,.SA,Consumo ciclico,Produo de eventos e shows,
Stara,ON,STTR3,.SA,Bens industriais,M q. e equip. construo e agricolas,
Statkraft,ON,STKF3,.SA,Utilidade pblica,Energia eletrica,
Sudeste,ON,OPSE3B,.SA,Financeiro,Outros,
Sul 116 Part,ON,OPTS3B,.SA,Financeiro,Outros,
Sul America,ON,SULA3,.SA,Financeiro,Seguradoras,
Sul America,PN,SULA4,.SA,Financeiro,Seguradoras,
Sul America,UNT N2,SULA11,.SA,Financeiro,Seguradoras,
Suzano Hold,ON,NEMO3,.SA,Materiais basicos,Papel e celulose,
Suzano Hold,PNA,NEMO5,.SA,Materiais basicos,Papel e celulose,
Suzano Hold,PNB,NEMO6,.SA,Materiais basicos,Papel e celulose,
Suzano S.A.,ON,SUZB3,.SA,Materiais basicos,Papel e celulose,
Taesa,ON,TAEE3,.SA,Utilidade pblica,Energia eletrica,
Taesa,PN,TAEE4,.SA,Utilidade pblica,Energia eletrica,
Taesa,UNT N2,TAEE11,.SA,Utilidade pblica,Energia eletrica,
Taurus Armas,ON,TASA3,.SA,Bens industriais,Armas e munies,
Taurus Armas,PN,TASA4,.SA,Bens industriais,Armas e munies,
Technos,ON,TECN3,.SA,Consumo ciclico,Acessrios,
Tecnisa,ON,TCSA3,.SA,Consumo ciclico,Incorporaes,
Tecnosolo,ON,TCNO3,.SA,Bens industriais,Engenharia consultiva,
Tecnosolo,PN,TCNO4,.SA,Bens industriais,Engenharia consultiva,
Tegma,ON,TGMA3,.SA,Bens industriais,Transporte rodoviario,
Teka,ON,TEKA3,.SA,Consumo ciclico,Fios e tecidos,
Teka,PN,TEKA4,.SA,Consumo ciclico,Fios e tecidos,
Tekno,ON,TKNO3,.SA,Materiais basicos,Artefatos de ferro e ao,
Tekno,PN,TKNO4,.SA,Materiais basicos,Artefatos de ferro e ao,
Telebras,ON,TELB3,.SA,Comunicaes,Telecomunicaes,
Telebras,PN,TELB4,.SA,Comunicaes,Telecomunicaes,
Telef Brasil,ON,VIVT3,.SA,Comunicaes,Telecomunicaes,
Telef Brasil,PN,VIVT4,.SA,Comunicaes,Telecomunicaes,
Tenda,ON,TEND3,.SA,Consumo ciclico,Incorporaes,
Terra Santa,ON,TESA3,.SA,Consumo no ciclico,Agricultura,
Tex Renaux,ON,TXRX3,.SA,Consumo ciclico,Fios e tecidos,
Tex Renaux,PN,TXRX4,.SA,Consumo ciclico,Fios e tecidos,
Tim Part S/A,ON,TIMP3,.SA,Comunicaes,Telecomunicaes,
Time For Fun,ON,SHOW3,.SA,Consumo ciclico,Produo de eventos e shows,
Totvs,ON,TOTS3,.SA,Tecnologia da informao,Programas e servios,
Tran Paulist,ON,TRPL3,.SA,Utilidade pblica,Energia eletrica,
Tran Paulist,PN,TRPL4,.SA,Utilidade pblica,Energia eletrica,
Trevisa,ON,LUXM3,.SA,Bens industriais,Transporte hidroviario,
Trevisa,PN,LUXM4,.SA,Bens industriais,Transporte hidroviario,
Trisul,ON,TRIS3,.SA,Consumo ciclico,Incorporaes,
Triunfo Part,ON,TPIS3,.SA,Bens industriais,Explorao de rodovias,
Tupy,ON,TUPY3,.SA,Bens industriais,Material rodoviario,
Ultrapar,ON,UGPA3,.SA,Petrleo g s e biocombustiveis,Explorao refino e distribuio,
Unicasa,ON,UCAS3,.SA,Consumo ciclico,Mveis,
Unipar,ON,UNIP3,.SA,Materiais basicos,Quimicos diversos,
Unipar,PNA,UNIP5,.SA,Materiais basicos,Quimicos diversos,
Unipar,PNB,UNIP6,.SA,Materiais basicos,Quimicos diversos,
Uptick,ON,UPKP3B,.SA,Utilidade pblica,Energia eletrica,
Usiminas,ON,USIM3,.SA,Materiais basicos,Siderurgia,
Usiminas,PNA,USIM5,.SA,Materiais basicos,Siderurgia,
Usiminas,PNB,USIM6,.SA,Materiais basicos,Siderurgia,
Vale,ON,VALE3,.SA,Materiais basicos,Minerais met licos,
Valid,ON,VLID3,.SA,Bens industriais,Servios diversos,
Viavarejo,ON,VVAR3,.SA,Consumo ciclico,Eletrodom‚sticos,
Vivara S.A.,ON,VIVA3,.SA,Consumo ciclico,Acessrios,
Viver,ON,VIVR3,.SA,Consumo ciclico,Incorporaes,
Vulcabras,ON,VULC3,.SA,Consumo ciclico,Calados,
Weg,ON,WEGE3,.SA,Bens industriais,Motores compressores e outros,
Wetzel S/A,ON,MWET3,.SA,Bens industriais,Material rodoviario,
Wetzel S/A,PN,MWET4,.SA,Bens industriais,Material rodoviario,
Whirlpool,ON,WHRL3,.SA,Consumo ciclico,Eletrodom‚sticos,
Whirlpool,PN,WHRL4,.SA,Consumo ciclico,Eletrodom‚sticos,
Wilson Sons,ON,WSON33,.SA,Bens industriais,Servios de apoio e armazenagem,
Wiz S.A,ON,WIZS3,.SA,Financeiro,Corretoras de seguros,
Wlm Ind Com,ON,WLMM3,.SA,Bens industriais,Material de transporte,
Wlm Ind Com,PN,WLMM4,.SA,Bens industriais,Material de transporte,
Yduqs Part,ON,YDUQ3,.SA,Consumo ciclico,Servios educacionais,
